# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	82043
#@/user_id	Window-Corp
a 	啊	c=355 d=2.17411 t=82043
qian zi 	签字	c=3 d=3.93121e-17 t=82043
qiang 	墙	c=24 d=0.679848 t=82043
qiang 	强	c=11 d=0.397374 t=82043
qiang 	抢	c=2 d=1.01088e-39 t=82043
qiang dao 	抢到	c=1 d=6.61352e-19 t=82043
qiang dian 	强电	c=4 d=3.33206e-27 t=82043
qiang diao 	强调	c=1 d=6.67999e-19 t=82043
qiang du 	强度	c=56 d=0.57747 t=82043
qiang guo 	强国	c=11 d=0.0361125 t=82043
qiang hua 	强化	c=1 d=1 t=66250
qiang jin 	抢尽	c=1 d=4.53999e-05 t=82043
qiang xian 	抢险	c=1 d=4.20009e-60 t=82043
qiang xiu 	抢修	c=1 d=8.17703e-45 t=82043
qiang zhi 	强制	c=3 d=4.26602e-08 t=82043
qiang zhi xing 	强制性	c=1 d=8.79142e-15 t=82043
qiao 	乔	c=12 d=1.41382e-08 t=82043
qiao 	敲	c=9 d=2.93707e-15 t=82043
qiao 	桥	c=616 d=7.33424 t=82043
qiao 	翘	c=1 d=7.21498e-43 t=82043
qiao ai 	乔艾	c=1 d=1 t=53065
qiao bi luo 	乔碧萝	c=1 d=1.27056e-23 t=82043
qiao bo 	乔波	c=1 d=1 t=53833
qiao ding 	敲定	c=1 d=5.32756e-34 t=82043
qiao du 	桥度	c=1 d=1.29222e-16 t=82043
qiao dun 	桥墩	c=157 d=0.874013 t=82043
qiao dun tai 	桥墩台	c=1 d=4.89509e-38 t=82043
qiao han 	桥涵	c=40 d=4.00926e-07 t=82043
qiao ji 	敲击	c=1 d=2.45952e-29 t=82043
qiao ke 	翘课	c=1 d=1 t=55500
qiao kong 	桥孔	c=2 d=1.94649 t=73064
qiao kua 	桥跨	c=7 d=0.726149 t=82043
qiao kuan 	桥宽	c=7 d=1.86469e-07 t=82043
qiao kuang 	桥框	c=1 d=1.60316e-82 t=82043
qiao kun 	桥困	c=1 d=1.40395e-21 t=82043
qiao li 	乔利	c=2 d=2.20668e-27 t=82043
qiao lian 	侨联	c=12 d=0.0263839 t=82043
qiao liang 	桥梁	c=650 d=4.19417 t=82043
qiao liang de 	桥梁的	c=1 d=4.54139e-38 t=82043
qiao ling 	侨领	c=6 d=4.0169e-06 t=82043
qiao lu 	桥路	c=1 d=0.000208619 t=82043
qiao men 	敲门	c=1 d=6.8631e-43 t=82043
qiao mi ang 	桥米昂	c=3 d=0.00161163 t=82043
qiao mian 	桥面	c=49 d=0.172589 t=82043
qiao mian ban 	桥面板	c=1 d=1.7201e-28 t=82043
qiao mian gang 	桥面钢	c=3 d=2.02556e-16 t=82043
qiao ming 	乔明	c=1 d=1.70125e-16 t=82043
qiao ming 	桥名	c=1 d=1 t=80646
qiao shang 	桥上	c=1 d=1.60742e-25 t=82043
qiao shui 	桥水	c=1 d=1 t=75371
qiao ta 	桥塔	c=1 d=1.36129e-11 t=82043
qiao tai 	桥台	c=178 d=13.3587 t=82043
qiao ti 	桥体	c=1 d=2.12061e-20 t=82043
qiao ti a 	桥体啊	c=1 d=9.92412e-29 t=82043
qiao tou 	桥头	c=2 d=1 t=73471
qiao wei 	桥位	c=15 d=1.32868e-09 t=82043
qiao wei 	翘尾	c=2 d=2.40002e-35 t=82043
qiao wei er qi 	乔韦尔奇	c=1 d=4.26951e-47 t=82043
qiao xia 	桥下	c=4 d=1.48854e-18 t=82043
qiao xian 	瞧县	c=2 d=2.58611e-53 t=82043
qiao xiang 	敲响	c=4 d=3.8875e-06 t=82043
qiao xing 	桥型	c=3 d=2.30835e-18 t=82043
qiao you ai 	桥有爱	c=1 d=1 t=53051
qiao zhang 	桥长	c=1 d=0.000207579 t=82043
qie 	且	c=17 d=0.0432828 t=82043
qie 	切	c=5 d=0.00305798 t=82043
qie ge 	切割	c=2 d=1.33584e-46 t=82043
qie huan 	切换	c=4 d=4.38981e-21 t=82043
qie jiao 	切角	c=1 d=1 t=57041
qie mian 	切面	c=4 d=0.0289322 t=82043
qie xiang 	切向	c=1 d=1 t=54057
qie yi 	惬意	c=1 d=1.54575e-06 t=82043
qin 	亲	c=2 d=3.12305e-28 t=82043
qin mi de 	亲密的	c=1 d=3.86112e-70 t=82043
qin quan 	侵权	c=1 d=1.02598e-37 t=82043
qin ru 	侵入	c=1 d=9.573e-17 t=82043
qin shi 	侵蚀	c=1 d=1 t=71050
qin zhan 	侵占	c=3 d=5.4194e-11 t=82043
qing 	庆	c=1 d=6.31008e-84 t=82043
qing 	晴	c=2 d=1.17805e-05 t=82043
qing 	清	c=1 d=2.23085e-28 t=82043
qing 	请	c=28 d=0.927743 t=82043
qing 	轻	c=3 d=1.78416e-17 t=82043
qing 	青	c=5 d=1.706e-07 t=82043
qing chu 	清楚	c=7 d=6.31499e-05 t=82043
qing chu 	清除	c=2 d=2.88972e-06 t=82043
qing chun 	青春	c=1 d=4.37774e-18 t=82043
qing dan 	清单	c=6 d=5.37262e-23 t=82043
qing dao 	青岛	c=1 d=6.74002e-36 t=82043
qing de 	轻的	c=1 d=7.27757e-27 t=82043
qing du 	轻度	c=1 d=9.47775e-17 t=82043
qing fu 	倾覆	c=6 d=1.88813e-13 t=82043
qing hua 	清华	c=3 d=4.33049e-08 t=82043
qing jia 	请假	c=6 d=1.59618e-08 t=82043
qing jian cha 	请检查	c=2 d=5.98824e-27 t=82043
qing jiao 	请教	c=4 d=1.12059e-34 t=82043
qing jie 	清洁	c=2 d=2.50358e-32 t=82043
qing kong 	清空	c=1 d=1 t=66362
qing kuan 	请款	c=1 d=2.29762e-22 t=82043
qing kuang 	情况	c=41 d=0.181772 t=82043
qing kuang xia 	情况下	c=1 d=1.85539e-07 t=82043
qing le 	请了	c=1 d=1.21569e-33 t=82043
qing li 	清理	c=13 d=0.0152985 t=82043
qing ni 	请你	c=1 d=1 t=48680
qing nian 	青年	c=4 d=2.49237e-38 t=82043
qing pu 	青浦	c=1 d=1 t=60020
qing qiao 	轻巧	c=1 d=1 t=70202
qing qin wang 	庆亲王	c=3 d=1.20715e-09 t=82043
qing qiu 	请求	c=4 d=1.20113e-09 t=82043
qing ru 	倾入	c=1 d=6.92219e-85 t=82043
qing shu ru 	请输入	c=2 d=0.00209124 t=82043
qing song 	轻松	c=2 d=4.28813e-10 t=82043
qing wen 	请问	c=2 d=1.61048e-18 t=82043
qing wen er qian wan 	请问二千万	c=1 d=4.24822e-47 t=82043
qing wu qi 	轻武器	c=1 d=1 t=71834
qing xi 	清洗	c=2 d=1.03615e-06 t=82043
qing xu 	情绪	c=2 d=4.6325e-07 t=82043
qing ying 	轻盈	c=1 d=1 t=73480
qing zan 	请暂	c=1 d=1 t=74175
qing zhi 	轻质	c=1 d=1 t=63690
qiu 	求	c=4 d=8.61815e-22 t=82043
qiu 	秋	c=1 d=2.85853e-33 t=82043
qiu 	邱	c=1 d=3.26269e-30 t=82043
qiu he 	求和	c=1 d=1 t=56328
qiu jiao 	求教	c=1 d=1 t=53994
qiu jie 	求解	c=2 d=1.9802 t=66593
qiu zhu 	求助	c=2 d=1.9802 t=56156
qu 	区	c=59 d=0.252842 t=82043
qu 	去	c=60 d=0.631996 t=82043
qu 	取	c=51 d=0.0536647 t=82043
qu ai 	去爱	c=1 d=4.98093e-66 t=82043
qu bei 	曲背	c=2 d=5.03715e-51 t=82043
qu bie 	区别	c=16 d=0.0320869 t=82043
qu chu 	去除	c=7 d=0.0156909 t=82043
qu chu 	取出	c=1 d=2.27708e-34 t=82043
qu chu lai 	取出来	c=1 d=1.25143e-21 t=82043
qu de 	取得	c=2 d=2.08406e-11 t=82043
qu diao 	去掉	c=4 d=0.0244335 t=82043
qu dong 	驱动	c=11 d=0.472367 t=82043
qu duan 	区段	c=1 d=9.12259e-97 t=82043
qu fen 	区分	c=2 d=4.13122e-42 t=82043
qu fu 	屈服	c=6 d=1.00043 t=52696
qu fu 	曲阜	c=4 d=6.94724e-49 t=82043
qu gan 	驱赶	c=2 d=1.9802 t=68223
qu guo 	去过	c=1 d=0.29671 t=82043
qu hao 	区号	c=2 d=0.00343067 t=82043
qu jian 	区间	c=4 d=0.0209899 t=82043
qu jiang 	渠江	c=5 d=1.91855 t=71708
qu lv 	曲率	c=3 d=2.82868 t=45958
qu mian 	曲面	c=4 d=2.66777 t=71875
qu na 	去哪	c=1 d=6.91558e-16 t=82043
qu nian 	去年	c=7 d=0.172907 t=82043
qu qiu 	曲球	c=1 d=3.24311e-18 t=82043
qu se 	取色	c=1 d=5.31561e-37 t=82043
qu shao 	去少	c=1 d=1 t=65107
qu shi 	去世	c=1 d=9.73786e-12 t=82043
qu shi 	趋势	c=4 d=1.12166e-15 t=82043
qu xian 	曲线	c=27 d=0.00145901 t=82043
qu xian de 	曲线的	c=1 d=4.78985e-47 t=82043
qu xiao 	取消	c=18 d=0.327915 t=82043
qu xiao le 	取消了	c=1 d=1.16861e-39 t=82043
qu yang 	取样	c=1 d=1.16093e-79 t=82043
qu ying 	瞿颖	c=1 d=6.12502e-28 t=82043
qu yong 	取用	c=8 d=6.39932e-14 t=82043
qu yu 	区域	c=22 d=1.3545e-11 t=82043
qu zhe 	曲折	c=1 d=7.27486e-52 t=82043
qu zhi 	取值	c=8 d=1.213e-07 t=82043
quan 	全	c=44 d=0.156826 t=82043
quan 	券	c=1 d=1.22703e-54 t=82043
quan 	圈	c=10 d=0.0104298 t=82043
quan 	权	c=2 d=1.38178e-69 t=82043
quan 	泉	c=2 d=1.06173 t=68476
quan ban 	全班	c=1 d=1 t=57191
quan bu 	全部	c=9 d=2.78132e-05 t=82043
quan chang 	全场	c=7 d=9.45006e-12 t=82043
quan cheng 	全称	c=1 d=1 t=68263
quan cheng 	全程	c=1 d=4.57923e-18 t=82043
quan fang wei 	全方位	c=1 d=4.62526e-18 t=82043
quan fang zai 	全放在	c=1 d=5.65603e-32 t=82043
quan guo 	全国	c=6 d=0.756332 t=82043
quan jing 	全景	c=1 d=4.60219e-18 t=82043
quan ju 	全局	c=2 d=0.0109523 t=82043
quan kuan 	全款	c=1 d=9.8679e-21 t=82043
quan li 	权利	c=1 d=7.99987e-52 t=82043
quan mian 	全面	c=1 d=1.05288e-18 t=82043
quan neng 	全能	c=1 d=1 t=79559
quan pin 	全拼	c=1 d=0.0305009 t=82043
quan ping 	全屏	c=1 d=1 t=53116
quan qiao 	全桥	c=3 d=1.31153e-14 t=82043
quan qiu 	全球	c=2 d=7.09239e-83 t=82043
quan quan 	圈圈	c=1 d=1 t=59801
quan shen 	全身	c=2 d=1.30798e-33 t=82043
quan shi 	全市	c=1 d=0.00379148 t=82043
quan shi 	全是	c=4 d=0.00381048 t=82043
quan shi jie 	全世界	c=1 d=1 t=67685
quan wen 	全文	c=3 d=9.65934e-05 t=82043
quan xian 	全线	c=11 d=1.43109e-11 t=82043
quan xian 	权限	c=7 d=1.5591e-37 t=82043
quan yi 	权益	c=1 d=4.18724e-24 t=82043
quan zai 	全在	c=1 d=0.000273284 t=82043
quan zi dong 	全自动	c=1 d=9.98777e-16 t=82043
que 	却	c=2 d=3.04101e-55 t=82043
que 	缺	c=12 d=2.10279e-09 t=82043
que bao 	确保	c=1 d=5.50589e-39 t=82043
que bie 	缺别	c=1 d=4.2498e-22 t=82043
que dian 	缺点	c=6 d=3.82229e-10 t=82043
que ding 	确定	c=24 d=0.0201606 t=82043
que fa 	缺乏	c=1 d=1.33848e-18 t=82043
que kou 	缺口	c=1 d=1 t=54802
que ren 	确认	c=14 d=5.97207e-12 t=82043
que shao 	缺少	c=8 d=3.87202e-15 t=82043
que shi 	确实	c=24 d=0.319819 t=82043
que xian 	缺陷	c=6 d=5.9445e-11 t=82043
que zhen 	确诊	c=2 d=2.23353e-40 t=82043
que zheng 	确证	c=1 d=2.03075e-40 t=82043
qun 	群	c=27 d=8.02896e-06 t=82043
qun hui 	群辉	c=1 d=1 t=49578
qun li 	群里	c=1 d=3.07488e-09 t=82043
qun li mian 	群里面	c=7 d=6.91118e-07 t=82043
qun ying 	群英	c=1 d=1.80731e-51 t=82043
qun zhong 	群众	c=3 d=1 t=79707
qun zong 	群总	c=1 d=1 t=79706
ran er 	然而	c=1 d=2.65922e-65 t=82043
ran hou 	然后	c=52 d=0.0322576 t=82043
ran jiu 	染就	c=1 d=6.23707e-06 t=82043
ran qi 	燃气	c=2 d=9.66669e-90 t=82043
ran se 	染色	c=1 d=1 t=57417
ran shou 	然首	c=1 d=5.40238e-51 t=82043
rang 	让	c=33 d=0.715064 t=82043
rang hou 	让后	c=1 d=1 t=57260
rang ni 	让你	c=6 d=8.0487e-06 t=82043
rang ni men 	让你们	c=1 d=3.23583e-21 t=82043
rang ta 	让他	c=1 d=2.99112e-37 t=82043
rang ta men 	让他们	c=1 d=3.43651e-23 t=82043
rang tai 	让台	c=1 d=5.90492e-68 t=82043
rang wo 	让我	c=8 d=0.000649051 t=82043
rao 	绕	c=1 d=2.70556e-33 t=82043
re 	惹	c=1 d=6.45353e-25 t=82043
re 	热	c=10 d=9.21203e-06 t=82043
re bu re 	热不热	c=1 d=5.74365e-07 t=82043
re dian 	热点	c=3 d=7.86443e-57 t=82043
re liang 	热量	c=1 d=1 t=71659
re men 	热门	c=0 d=0.1 t=71841
re na ya 	热那亚	c=1 d=2.43215e-15 t=82043
re ni 	惹你	c=0 d=1.11662e-34 t=82043
re ni xiu nan gan 	惹你羞赧感	c=2 d=7.44619e-30 t=82043
re qing 	热情	c=1 d=0.0182243 t=82043
re re 	热热	c=6 d=1.47021e-50 t=82043
re shui qi 	热水器	c=1 d=1 t=81012
re sou 	热搜	c=1 d=2.25197e-80 t=82043
re tu 	热土	c=0 d=6.60276e-89 t=82043
re tu rang ni 	热土让你	c=1 d=6.63586e-88 t=82043
re xian 	热线	c=2 d=1 t=80758
re yuan 	热源	c=1 d=1 t=58910
ren 	人	c=80 d=0.287941 t=82043
ren 	任	c=4 d=2.18943e-17 t=82043
ren 	刃	c=2 d=1.70117 t=62322
ren a 	人啊	c=2 d=3.18918e-56 t=82043
ren de 	人的	c=0 d=0.1 t=57463
ren fei 	人非	c=1 d=1 t=55272
ren gong 	人工	c=8 d=4.30045e-11 t=82043
ren he 	任何	c=1 d=4.87498e-19 t=82043
ren jia 	人家	c=10 d=0.00891527 t=82043
ren jian 	人间	c=2 d=3.03694e-10 t=82043
ren ke 	认可	c=1 d=2.24616e-79 t=82043
ren kong 	人孔	c=1 d=7.64525e-48 t=82043
ren kou 	人口	c=3 d=2.9605 t=68227
ren li 	人力	c=1 d=1.33475e-44 t=82043
ren liu liang 	人流量	c=1 d=9.64065e-41 t=82043
ren ma 	人马	c=1 d=3.90948e-40 t=82043
ren men 	人们	c=1 d=5.28263e-52 t=82043
ren min 	人民	c=4 d=5.00963e-16 t=82043
ren min lu 	人民路	c=2 d=1.09122 t=82043
ren ming 	任命	c=1 d=5.25629e-52 t=82043
ren ne 	人呢	c=0 d=1.18056e-42 t=82043
ren qi 	人气	c=1 d=1.27845e-37 t=82043
ren qiao 	人桥	c=1 d=1 t=48625
ren qing 	认清	c=2 d=6.60536e-37 t=82043
ren qun 	人群	c=28 d=0.386741 t=82043
ren ren 	人人	c=1 d=7.69691e-39 t=82043
ren ren 	忍忍	c=2 d=7.65852e-39 t=82043
ren sheng 	人生	c=5 d=9.59761e-37 t=82043
ren shi 	人事	c=1 d=1.99603e-43 t=82043
ren shi 	人士	c=1 d=1 t=54615
ren shi 	认识	c=4 d=7.01532e-07 t=82043
ren shu 	人数	c=1 d=6.62388e-08 t=82043
ren tong du 	认同度	c=1 d=1 t=67471
ren wei 	人为	c=1 d=1 t=63342
ren wei 	认为	c=3 d=1.43109e-11 t=82043
ren wen 	人文	c=1 d=1 t=73377
ren wu 	人物	c=3 d=1.55371e-37 t=82043
ren wu 	任务	c=11 d=0.210136 t=82043
ren wu lan 	任务栏	c=1 d=6.02255e-06 t=82043
ren xin 	人心	c=2 d=7.06518e-31 t=82043
ren xing 	人行	c=214 d=0.980068 t=82043
ren xing 	韧性	c=3 d=4.41851e-17 t=82043
ren xing dao 	人行道	c=21 d=0.00318485 t=82043
ren xing qiao 	人行桥	c=16 d=0.0779113 t=82043
ren xing tian qiao 	人行天桥	c=1 d=1.62136e-09 t=82043
ren yi 	任意	c=1 d=1 t=78519
ren yuan 	人员	c=9 d=4.10796e-05 t=82043
ren yuan de 	人员的	c=1 d=3.56631e-18 t=82043
ren zhen 	认真	c=2 d=1.19101e-27 t=82043
ren zheng 	认证	c=2 d=1.56639e-15 t=82043
reng 	仍	c=6 d=0.0437178 t=82043
reng ran 	仍然	c=3 d=3.60718e-05 t=82043
ri 	日	c=44 d=0.0463807 t=82043
ri ben 	日本	c=1 d=1.8547e-32 t=82043
ri chang 	日常	c=4 d=2.21739e-14 t=82043
ri cheng 	日程	c=1 d=1 t=68801
ri guang 	日光	c=1 d=1.61377e-42 t=82043
ri ji 	日记	c=1 d=2.28088e-83 t=82043
ri man 	日漫	c=1 d=1 t=55033
ri qi 	日期	c=4 d=0.0144173 t=82043
ri yi 	日益	c=1 d=1.57805e-14 t=82043
ri yuan 	日元	c=1 d=2.36744e-80 t=82043
ri zhi 	日志	c=1 d=2.28421e-12 t=82043
ri zi 	日子	c=2 d=6.01645e-23 t=82043
rong 	熔	c=1 d=0.591555 t=82043
rong 	茸	c=6 d=0.250324 t=82043
rong 	荣	c=18 d=0.806541 t=82043
rong dong 	溶洞	c=1 d=4.69835e-26 t=82043
rong he 	融合	c=7 d=3.10602e-11 t=82043
rong le 	容乐	c=1 d=1.16018e-42 t=82043
rong liang 	容量	c=2 d=1.03365e-07 t=82043
rong mao 	容貌	c=1 d=1.19987e-26 t=82043
rong mao 	绒毛	c=1 d=1.21193e-26 t=82043
rong ru 	融入	c=1 d=1 t=79876
rong tou 	熔透	c=2 d=1.1836 t=49801
rong tou 	茸头	c=1 d=0.588605 t=82043
rong xi 	容膝	c=1 d=5.73858e-26 t=82043
rong xu 	容许	c=1 d=5.76735e-26 t=82043
rong yao 	荣耀	c=2 d=1.0609e-19 t=82043
rong yi 	容易	c=11 d=1.88257e-15 t=82043
rong yu 	冗余	c=1 d=1 t=64226
rong zhong 	容重	c=21 d=1.89287e-07 t=82043
rou 	肉	c=1 d=4.34526e-48 t=82043
rou du 	柔度	c=1 d=2.03642e-14 t=82043
rou xing 	柔性	c=2 d=1.15479e-46 t=82043
ru 	入	c=6 d=8.68147e-14 t=82043
ru 	如	c=57 d=3.56015 t=82043
ru ci 	如此	c=1 d=1 t=54315
ru dang 	入党	c=1 d=7.50687e-39 t=82043
ru e 	如额	c=1 d=2.20708e-49 t=82043
ru ge 	如歌	c=1 d=3.59897e-37 t=82043
ru gou 	乳沟	c=1 d=2.80718e-55 t=82043
ru gu 	入股	c=0 d=6.64194e-41 t=82043
ru guo 	如果	c=25 d=0.198554 t=82043
ru he 	如何	c=15 d=0.0534029 t=82043
ru hu 	如虎	c=1 d=1 t=64866
ru jin 	如今	c=1 d=2.46078e-35 t=82043
ru kou 	入口	c=4 d=0.105399 t=82043
ru men 	入门	c=3 d=1.48484e-33 t=82043
ru na jian 	如那件	c=3 d=0.0575558 t=82043
ru ruo 	如若	c=1 d=1 t=77720
ru shi 	如实	c=1 d=1 t=49357
ru tu 	入土	c=2 d=1.02294 t=67862
ru tu 	如图	c=1 d=1.84194e-39 t=82043
ru xi 	如昔	c=1 d=4.86654e-28 t=82043
ru xia 	如下	c=9 d=2.68733e-22 t=82043
ru xian ai 	乳腺癌	c=2 d=1.94176 t=64634
ru zhi 	入职	c=1 d=4.14333e-47 t=82043
ru zhu 	入住	c=1 d=5.18525e-39 t=82043
ruan 	软	c=6 d=6.15643e-07 t=82043
ruan bao 	软包	c=0 d=0.1 t=58737
ruan bao jian 	软包建	c=1 d=1 t=58738
ruan dian 	软垫	c=1 d=1.05252e-14 t=82043
ruan gou 	软购	c=1 d=6.16012e-07 t=82043
ruan jian 	软件	c=45 d=0.810429 t=82043
ruan jian dao 	软件到	c=1 d=1.66643e-08 t=82043
ruan jiu an 	软就按	c=1 d=1 t=56708
ruan lu you 	软路由	c=1 d=9.68074e-31 t=82043
ruan tu 	软土	c=7 d=1.93776e-18 t=82043
rui 	睿	c=1 d=1.58515e-08 t=82043
rui jiao 	锐角	c=1 d=1 t=61347
rui shi 	瑞士	c=1 d=1.12846e-10 t=82043
run 	润	c=2 d=1.14579e-92 t=82043
ruo 	若	c=4 d=1.01301 t=78741
ruo dian 	弱点	c=1 d=1 t=71502
ruo gan 	若干	c=3 d=1 t=76979
ruo hua 	弱化	c=1 d=1 t=59569
sa 	撒	c=3 d=0.396531 t=82043
sa a 	萨阿	c=1 d=1 t=55038
sa da mu 	萨达姆	c=1 d=3.76667e-14 t=82043
sa dan 	撒旦	c=5 d=1.30243e-22 t=82043
sa dan fa sheng de 	撒旦发生的	c=1 d=0.000162053 t=82043
sa dan fa sheng de di fang 	撒旦发生的地方	c=1 d=1 t=80759
sa dan fei 	撒旦非	c=8 d=0.771052 t=82043
sa fei 	萨菲	c=3 d=1.21113e-18 t=82043
sa hng 	撒哼	c=4 d=0.00597165 t=82043
sa hng guo nei 	撒哼国内	c=1 d=0.0578443 t=82043
sa hng wu 	撒哼吴	c=1 d=9.82808e-91 t=82043
sa huan 	撒欢	c=1 d=1 t=48700
sa zi 	撒子	c=1 d=1 t=49279
sai 	塞	c=2 d=1.99501 t=67590
sai 	赛	c=1 d=1.2758e-42 t=82043
sai ma 	赛马	c=2 d=1.26982 t=60734
sai na he 	塞纳河	c=1 d=1 t=63921
san 	三	c=26 d=0.537944 t=82043
san 	伞	c=1 d=4.67333e-22 t=82043
san 	散	c=1 d=9.02289e-56 t=82043
san bu 	散步	c=1 d=2.2285e-45 t=82043
san cha 	三叉	c=1 d=1 t=56420
san ci 	三次	c=1 d=3.67868e-30 t=82043
san da 	三大	c=2 d=0.232236 t=82043
san dian 	三点	c=1 d=4.6393e-83 t=82043
san duan 	三段	c=2 d=1.41967e-87 t=82043
san fen 	三份	c=1 d=2.14819e-25 t=82043
san fen 	三分	c=1 d=2.13748e-25 t=82043
san ge 	三个	c=6 d=1.67691e-14 t=82043
san ji 	三级	c=1 d=2.39342e-32 t=82043
san jiao 	三角	c=2 d=0.00416933 t=82043
san jiao xing 	三角形	c=2 d=9.74105e-45 t=82043
san jie 	三届	c=1 d=4.83568e-12 t=82043
san kua 	三跨	c=8 d=8.46281e-08 t=82043
san le 	散了	c=1 d=4.76581e-76 t=82043
san nian 	三年	c=1 d=7.51095e-16 t=82043
san pian 	三篇	c=1 d=1 t=59912
san san 	散散	c=1 d=3.01605e-17 t=82043
san sui 	三岁	c=1 d=1.58429e-31 t=82043
san tai 	三胎	c=1 d=1 t=62349
san tian 	三天	c=2 d=1.42047e-41 t=82043
san wei 	三维	c=12 d=2.34582 t=82043
san wen yu 	三文鱼	c=1 d=0.00465413 t=82043
san xing 	三星	c=2 d=1.77492 t=44976
san ya 	三亚	c=1 d=1.29122e-95 t=82043
san yuan 	三元	c=2 d=1.9802 t=66594
san zuo 	三座	c=13 d=3.53851e-29 t=82043
san zuo pin 	三作品	c=1 d=1.51458e-31 t=82043
sang 	桑	c=1 d=3.2757e-18 t=82043
sao 	扫	c=1 d=2.73991e-05 t=82043
sao ma 	扫码	c=1 d=2.89483e-05 t=82043
sao miao 	扫描	c=5 d=0.000409016 t=82043
sao zi 	嫂子	c=1 d=6.73085e-20 t=82043
se 	色	c=1 d=6.0746e-19 t=82043
se yu 	色域	c=1 d=2.78929e-68 t=82043
sen 	森	c=1 d=8.36693e-21 t=82043
sha 	刹	c=1 d=2.27475e-22 t=82043
sha 	啥	c=4 d=4.26602e-08 t=82043
sha 	杀	c=1 d=3.48644e-75 t=82043
sha 	沙	c=14 d=7.48773e-10 t=82043
sha 	砂	c=2 d=5.97075e-22 t=82043
sha 	纱	c=2 d=1 t=75349
sha 	莎	c=1 d=1.36032e-32 t=82043
sha che 	刹车	c=3 d=6.66755e-22 t=82043
sha du 	杀毒	c=1 d=1.7533e-47 t=82043
sha fa 	沙发	c=1 d=1.16077e-48 t=82043
sha gen bu 	沙根部	c=1 d=1 t=78302
sha gua 	傻瓜	c=1 d=2.50494e-09 t=82043
sha jiang 	砂浆	c=2 d=6.05235e-64 t=82043
sha li 	沙砾	c=1 d=2.30341e-81 t=82043
sha shi 	啥事	c=2 d=8.52348e-25 t=82043
sha shi hou 	啥时候	c=1 d=3.09124e-42 t=82043
sha yan 	砂岩	c=1 d=1.55636e-57 t=82043
shai 	晒	c=1 d=1.64134e-06 t=82043
shai xuan 	筛选	c=6 d=1.57858e-18 t=82043
shan 	删	c=2 d=0.00134011 t=82043
shan 	山	c=7 d=2.55899e-09 t=82043
shan 	栅	c=3 d=3.29436e-26 t=82043
shan 	闪	c=1 d=8.97331e-50 t=82043
shan chu 	删除	c=56 d=0.615697 t=82043
shan diao 	删掉	c=5 d=5.27472e-05 t=82043
shan dong 	山东	c=22 d=0.11477 t=82043
shan dong sa fei da suan 	山东萨菲打算	c=1 d=3.18539e-42 t=82043
shan gu 	山谷	c=1 d=1 t=79315
shan hai lu 	山海路	c=1 d=1.76214e-18 t=82043
shan mao 	山猫	c=0 d=1.45921e-35 t=82043
shan mao guo 	山猫过	c=1 d=1.46652e-34 t=82043
shan qu 	山区	c=1 d=1.14019e-14 t=82043
shan tui 	闪退	c=3 d=3.95628e-24 t=82043
shan xi 	山西	c=1 d=9.62395e-50 t=82043
shan xia 	山下	c=1 d=1.61492e-21 t=82043
shan yu 	善于	c=1 d=1 t=65644
shan zhu 	山猪	c=1 d=6.28008e-28 t=82043
shang 	上	c=313 d=1.44338 t=82043
shang 	尚	c=5 d=2.49933e-12 t=82043
shang bai 	上百	c=1 d=0.00660453 t=82043
shang ban 	上班	c=18 d=0.368165 t=82043
shang ban nian 	上半年	c=1 d=1 t=65207
shang bao 	上报	c=2 d=3.55771e-19 t=82043
shang biao 	上标	c=2 d=1 t=57096
shang biao 	商标	c=2 d=1.4752e-28 t=82043
shang bu 	上部	c=89 d=1.16188 t=82043
shang bu 	尚不	c=1 d=0.0792617 t=82043
shang bu e 	上不饿	c=1 d=1.85332e-82 t=82043
shang bu jie gou 	上部结构	c=1 d=1 t=64151
shang ceng 	上层	c=2 d=1 t=75334
shang chang 	商场	c=1 d=1.395e-34 t=82043
shang che 	上车	c=5 d=2.54338e-06 t=82043
shang chu 	上出	c=1 d=1.93737e-45 t=82043
shang chuan 	上传	c=30 d=0.117655 t=82043
shang chuang 	上床	c=2 d=1.94649 t=45929
shang chun 	上唇	c=1 d=1 t=76762
shang ci 	上次	c=11 d=0.0930145 t=82043
shang dang 	上当	c=1 d=4.62526e-18 t=82043
shang de 	上的	c=1 d=1 t=70739
shang di 	上帝	c=2 d=0.0183156 t=82043
shang dian 	商店	c=4 d=3.22079e-25 t=82043
shang dong 	上冻	c=1 d=0.000253537 t=82043
shang gao su 	上高速	c=1 d=0.0200405 t=82043
shang ge 	上个	c=2 d=0.0105145 t=82043
shang hai 	上海	c=79 d=0.255791 t=82043
shang hai cun an 	上海存案	c=1 d=1.7652e-09 t=82043
shang hai lai 	上海来	c=1 d=3.54852e-18 t=82043
shang hai lu 	上海陆	c=2 d=2.99061e-35 t=82043
shang hai o 	上海哦	c=1 d=1 t=50120
shang hai shi 	上海市	c=7 d=8.29382e-06 t=82043
shang ji 	上级	c=2 d=8.18704e-30 t=82043
shang jiang 	上讲	c=1 d=7.72496e-23 t=82043
shang ke 	上课	c=24 d=3.35096e-19 t=82043
shang ke 	尚可	c=1 d=1 t=52900
shang kua 	上跨	c=1 d=1.49503e-84 t=82043
