# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11833
#@/user_id	Window-Corp
a 	啊	c=93 d=5.29402 t=11833
gong cheng 	工程	c=12 d=1.55414 t=11833
gong cheng liang 	工程量	c=1 d=1 t=8672
gong da 	攻打	c=1 d=1.09567e-16 t=11833
gong ji jin 	公積金	c=1 d=0.00511796 t=11833
gong ju 	工具	c=5 d=0.120563 t=11833
gong kuang 	工況	c=6 d=0.00384042 t=11833
gong li 	公里	c=2 d=1.94649 t=10941
gong lu 	公路	c=5 d=0.286788 t=11833
gong lve 	攻略	c=2 d=0.121535 t=11833
gong neng 	功能	c=3 d=0.227651 t=11833
gong qi 	工期	c=1 d=1 t=9619
gong shi 	公式	c=3 d=0.000494257 t=11833
gong shi 	公示	c=1 d=0.000153778 t=11833
gong si 	公司	c=1 d=4.255e-07 t=11833
gong xiang 	共享	c=2 d=0.250324 t=11833
gong xin bu 	工信部	c=1 d=0.00479587 t=11833
gong yi 	工藝	c=1 d=2.55068e-16 t=11833
gong yu 	公寓	c=2 d=8.78394e-05 t=11833
gong zi 	工資	c=2 d=0.246597 t=11833
gong zu fang 	公租房	c=1 d=1.80522e-08 t=11833
gong zuo 	工作	c=11 d=1.46359 t=11833
gong zuo shi 	工作室	c=4 d=2.79687e-09 t=11833
gou 	夠	c=2 d=0.348192 t=11833
gou 	溝	c=3 d=2.88362 t=11137
gou 	狗	c=1 d=1 t=11186
gou gou 	狗狗	c=2 d=1.78282 t=11833
gou jian 	構件	c=7 d=1.16789 t=11833
gou jian 	構建	c=1 d=5.02051e-07 t=11833
gou mai 	購買	c=2 d=1.52327e-10 t=11833
gou qi 	枸杞	c=1 d=0.396531 t=11833
gou tong 	溝通	c=3 d=3.81856e-07 t=11833
gou zao 	構造	c=5 d=1.31452 t=11833
gu 	古	c=1 d=0.11475 t=11833
gu 	谷	c=0 d=0.0826959 t=11833
gu 	顧	c=3 d=0.000221619 t=11833
gu dan 	孤單	c=1 d=1.96704e-18 t=11833
gu ding 	固定	c=2 d=1.17157e-09 t=11833
gu fu 	姑父	c=3 d=0.0593172 t=11833
gu fu 	辜負	c=0 d=0.000100276 t=11833
gu ge 	谷歌	c=13 d=3.72285 t=11833
gu ge yun pan 	谷歌雲盤	c=1 d=0.839457 t=11833
gu ji 	估計	c=2 d=0.371577 t=11833
gu jia 	骨架	c=2 d=3.6482e-09 t=11833
gu jin 	箍筋	c=4 d=9.22415e-07 t=11833
gu ma 	姑媽	c=7 d=0.413107 t=11833
gu niang 	姑娘	c=1 d=0.000100535 t=11833
gu shi 	故事	c=2 d=0.267135 t=11833
gu suan 	估算	c=1 d=0.00990218 t=11833
gu tai 	固態	c=1 d=1.10483e-15 t=11833
gu tai ying pan 	固態硬盤	c=1 d=6.56243e-16 t=11833
gua 	刮	c=0 d=0.00614212 t=11833
gua 	掛	c=5 d=0.946485 t=11833
gua tai feng 	刮颱風	c=1 d=0.0617291 t=11833
gua zhe 	掛着	c=1 d=1.53538e-15 t=11833
guai 	怪	c=1 d=4.96062e-18 t=11833
guan 	官	c=1 d=1.33135e-14 t=11833
guan 	管	c=5 d=1.97047 t=11170
guan bi 	關閉	c=7 d=0.916883 t=11833
guan dao 	管道	c=2 d=1.00196 t=10071
guan fang 	官方	c=1 d=1 t=9424
guan ji 	關機	c=1 d=0.0488012 t=11833
guan jiang 	灌漿	c=2 d=5.38897e-09 t=11833
guan kan 	觀看	c=1 d=0.869358 t=11833
guan li 	管理	c=2 d=0.208811 t=11833
guan li yuan 	管理員	c=1 d=1.30836e-15 t=11833
guan lian 	關聯	c=1 d=1.21991e-15 t=11833
guan wang 	官網	c=1 d=0.173774 t=11833
guan xi 	關係	c=2 d=0.118269 t=11833
guan xian 	管線	c=1 d=1 t=10085
guan xin 	關心	c=2 d=0.0150158 t=11833
guan yu 	關於	c=8 d=0.263017 t=11833
guan zhu 	灌注	c=1 d=8.83398e-13 t=11833
guan zhu 	關注	c=2 d=3.16676e-16 t=11833
guang 	光	c=1 d=0.0129715 t=11833
guang 	逛	c=1 d=0.873716 t=11833
guang bo 	廣播	c=2 d=1.48032e-18 t=11833
guang guang 	逛逛	c=1 d=1.44621e-17 t=11833
guang kuo 	廣闊	c=1 d=2.3844e-17 t=11833
guang yi 	廣義	c=1 d=0.244143 t=11833
gui 	貴	c=2 d=6.05748e-07 t=11833
gui 	鬼	c=2 d=0.897342 t=11833
gui cheng 	規程	c=2 d=2.37129e-05 t=11833
gui dian 	貴點	c=1 d=1 t=11278
gui fan 	規範	c=6 d=0.223139 t=11833
gui fan na 	規範那	c=1 d=4.88594e-16 t=11833
gui gu ba huang 	鬼谷八荒	c=1 d=0.831104 t=11833
gui guai 	鬼怪	c=1 d=0.0547488 t=11833
gui hua 	規劃	c=1 d=1.6019e-14 t=11833
gui mi 	閨密	c=2 d=0.295828 t=11833
gui mie 	鬼滅	c=6 d=1.44569 t=11833
gui mo 	規模	c=1 d=1 t=8629
guo 	國	c=1 d=5.2502e-09 t=11833
guo 	果	c=2 d=0.131629 t=11833
guo 	過	c=5 d=0.412718 t=11833
guo 	郭	c=3 d=1 t=11833
guo bu liao 	過不了	c=1 d=4.21553e-15 t=11833
guo cheng 	過程	c=5 d=0.179205 t=11833
guo da 	過大	c=1 d=3.48548e-13 t=11833
guo fen 	過分	c=1 d=0.694197 t=11833
guo ji 	國際	c=2 d=0.947726 t=11833
guo ji ban ben 	國際版本	c=2 d=2.29785e-15 t=11833
guo lai 	過來	c=6 d=0.540641 t=11833
guo nei 	國內	c=2 d=0.0540912 t=11833
guo nian 	過年	c=3 d=0.175647 t=11833
guo qi 	國企	c=2 d=1.00115 t=11666
guo qi 	過期	c=1 d=1 t=11667
guo qu 	過去	c=2 d=0.068625 t=11833
guo ren 	國人	c=1 d=0.869358 t=11833
guo shui 	國稅	c=1 d=1 t=8770
guo shui 	過水	c=2 d=1.23693 t=9079
guo yao 	國藥	c=1 d=0.0378169 t=11833
ha 	哈	c=0 d=0.1 t=10724
ha a ha 	哈啊哈	c=1 d=1 t=10725
ha ha 	哈哈	c=1 d=0.00701165 t=11833
ha ha a a 	哈哈啊啊	c=1 d=1 t=10235
ha ha ha 	哈哈哈	c=19 d=0.831129 t=11833
ha ha ha a 	哈哈哈啊	c=1 d=1 t=11235
ha ha ha ha 	哈哈哈哈	c=8 d=0.0679203 t=11833
ha ha ha ha ha 	哈哈哈哈哈	c=1 d=5.85053e-18 t=11833
hai 	嗨	c=1 d=0.00453922 t=11833
hai 	海	c=1 d=1 t=9219
hai 	還	c=11 d=0.978642 t=11833
hai bu cuo 	還不錯	c=1 d=1 t=10624
hai bu ru 	還不如	c=1 d=1 t=10273
hai dei 	還得	c=8 d=0.112506 t=11833
hai hao 	還好	c=3 d=0.332881 t=11833
hai ke yi 	還可以	c=1 d=1.18386e-15 t=11833
hai mei 	還沒	c=1 d=0.028297 t=11833
hai mei yo 	還沒喲	c=1 d=0.00375375 t=11833
hai mei you 	還沒有	c=1 d=6.95024e-15 t=11833
hai neng 	還能	c=1 d=3.25659e-08 t=11833
hai pa 	害怕	c=1 d=0.000372602 t=11833
hai shi 	還是	c=31 d=2.37381 t=11833
hai shi shi 	還是是	c=1 d=3.81502e-17 t=11833
hai shi you 	還是有	c=1 d=7.16313e-17 t=11833
hai shuo 	還說	c=1 d=5.2411e-18 t=11833
hai tan 	海灘	c=1 d=8.42346e-12 t=11833
hai xiang 	還想	c=1 d=0.037068 t=11833
hai yao 	還要	c=1 d=0.00127476 t=11833
hai yi wei 	還以爲	c=1 d=1.89777e-08 t=11833
hai you 	還有	c=8 d=0.591555 t=11833
hai you dian 	還有點	c=1 d=0.463013 t=11833
hai zai 	還在	c=3 d=0.00366107 t=11833
hai zi 	孩子	c=2 d=0.00128762 t=11833
hai zi a 	孩子啊	c=1 d=2.72857e-15 t=11833
han 	涵	c=2 d=7.04351e-10 t=11833
han 	漢	c=5 d=0.146848 t=11833
han 	韓	c=1 d=1 t=11200
han bao 	漢堡	c=1 d=5.89106e-11 t=11833
han dong 	寒冬	c=1 d=1.83344e-14 t=11833
han dong 	涵洞	c=12 d=0.000606366 t=11833
han feng 	焊縫	c=4 d=1.31919e-15 t=11833
han guo 	韓國	c=2 d=0.21292 t=11833
han jie 	焊接	c=7 d=3.55553e-13 t=11833
han ju 	韓劇	c=1 d=0.0824965 t=11833
han shu 	函數	c=7 d=0.024187 t=11833
han yi 	含義	c=1 d=1 t=11601
han yu 	韓語	c=2 d=0.277537 t=11833
hang 	行	c=1 d=3.30693e-12 t=11833
hang ban 	航班	c=1 d=2.17244e-10 t=11833
hang dao 	航道	c=3 d=9.37835e-16 t=11833
hang kong 	航空	c=1 d=2.15082e-10 t=11833
hang qing 	行情	c=1 d=0.00360656 t=11833
hang zhan 	航站	c=1 d=1 t=9821
hao 	好	c=25 d=0.995012 t=11833
hao 	號	c=22 d=1.44165 t=11833
hao 	豪	c=1 d=1.33757e-10 t=11833
hao ba 	好吧	c=3 d=0.955997 t=11833
hao bu hao 	好不好	c=2 d=0.257947 t=11833
hao chu 	好處	c=1 d=0.955997 t=11833
hao de 	好的	c=35 d=1.49876 t=11833
hao dian 	好點	c=1 d=0.0117371 t=11833
hao duo 	好多	c=3 d=0.0594083 t=11833
hao duo ren 	好多人	c=1 d=0.000534061 t=11833
hao hao 	好好	c=10 d=0.870462 t=11833
hao hao gan 	好好幹	c=1 d=0.00299743 t=11833
hao ji ge 	好幾個	c=3 d=0.00327971 t=11833
hao jiu 	好久	c=2 d=0.302178 t=11833
hao ka 	好卡	c=1 d=1.30859e-17 t=11833
hao kan 	好看	c=1 d=0.501576 t=11833
hao lai wu 	好萊塢	c=1 d=8.15341e-11 t=11833
hao le 	好了	c=2 d=0.683861 t=11833
hao ling dao 	好領導	c=1 d=0.600496 t=11833
hao ma 	號碼	c=5 d=3.24413 t=11047
hao pa pa 	好怕怕	c=1 d=0.062662 t=11833
hao pai 	號牌	c=1 d=1 t=10812
hao qi 	好奇	c=1 d=0.918512 t=11833
hao ri zhi 	好日誌	c=1 d=0.075774 t=11833
hao shi 	耗時	c=1 d=2.56748e-05 t=11833
hao wan 	好玩	c=2 d=0.00923273 t=11833
hao wu liao 	好無聊	c=1 d=0.229925 t=11833
hao xiang 	好像	c=5 d=0.77611 t=11833
hao yi bi 	好一比	c=1 d=2.9763e-08 t=11833
hao yi dian 	好一點	c=2 d=0.00179097 t=11833
he 	和	c=61 d=0.993087 t=11833
he 	喝	c=1 d=1.50759e-06 t=11833
he 	河	c=6 d=1.07321e-05 t=11833
he 	盒	c=1 d=5.17027e-05 t=11833
he bing 	合併	c=3 d=5.92453e-05 t=11833
he cheng 	合成	c=1 d=1 t=11564
he dao 	河道	c=3 d=6.96667e-14 t=11833
he fei 	合肥	c=2 d=2.76622e-14 t=11833
he fei lu 	合肥路	c=2 d=2.6365e-14 t=11833
he nan 	河南	c=1 d=0.384812 t=11833
he ni 	和你	c=1 d=2.72245e-18 t=11833
he shi 	合適	c=3 d=0.965605 t=11833
he tong 	合同	c=1 d=3.49272e-08 t=11833
he zai 	何在	c=1 d=0.000134358 t=11833
he zai 	荷載	c=9 d=0.00355748 t=11833
he ze 	菏澤	c=12 d=1.58291 t=11833
he zhong 	河中	c=1 d=3.93736e-06 t=11833
he zu 	合租	c=1 d=3.17618e-08 t=11833
hei 	黑	c=3 d=0.147123 t=11833
hei guo 	黑果	c=1 d=0.12307 t=11833
hei pin guo 	黑拼過	c=2 d=0.331097 t=11833
hei ping guo 	黑蘋果	c=22 d=2.69367 t=11833
hei ti 	黑體	c=1 d=1 t=11641
hen 	很	c=25 d=0.694284 t=11833
hen bing 	很病	c=1 d=3.04325e-05 t=11833
hen da 	很大	c=1 d=0.946485 t=11833
hen duo 	很多	c=2 d=0.50409 t=11833
hen jiu 	很久	c=1 d=0.501576 t=11833
hen kuai 	很快	c=1 d=0.00392653 t=11833
hen lei 	很累	c=1 d=1 t=10322
hen shen 	很深	c=1 d=0.0110536 t=11833
hen shi 	很是	c=1 d=0.97531 t=11833
heng 	橫	c=4 d=0.839457 t=11833
heng duan mian 	橫斷面	c=3 d=0.000510201 t=11833
heng xiang 	橫向	c=1 d=1.66728e-14 t=11833
hong 	弘	c=1 d=0.353455 t=11833
hong 	紅	c=0 d=0.0923116 t=11833
hong bao 	紅包	c=1 d=6.09882e-07 t=11833
hong ma 	紅麻	c=1 d=1 t=10750
hong qiao 	虹橋	c=1 d=4.49482e-05 t=11833
hong xian 	紅線	c=1 d=1.10668e-16 t=11833
hong zha 	轟炸	c=1 d=0.19593 t=11833
hou 	後	c=16 d=1.80377 t=11833
hou bei 	後輩	c=1 d=7.5486e-16 t=11833
hou du 	厚度	c=4 d=0.000394089 t=11833
hou ma 	後媽	c=1 d=1.24777e-16 t=11833
hou mai 	候脈	c=1 d=9.42085e-05 t=11833
hou mian 	後面	c=21 d=0.578189 t=11833
hou tai 	後臺	c=1 d=0.790571 t=11833
hou xu 	後續	c=1 d=1.7576e-17 t=11833
hou zhui 	後綴	c=0 d=2.20985e-06 t=11833
hou zhui min 	後綴民	c=1 d=2.22093e-05 t=11833
hu 	乎	c=1 d=1 t=9272
hu 	呼	c=1 d=0.00620385 t=11833
hu 	戶	c=1 d=0.000314351 t=11833
hu 	滬	c=1 d=1.66699e-12 t=11833
hu 	胡	c=1 d=0.0157644 t=11833
hu chang 	弧長	c=4 d=3.63673e-14 t=11833
hu chi 	互斥	c=2 d=7.80507e-06 t=11833
hu du 	弧度	c=1 d=3.63774e-16 t=11833
hu hu 	呼呼	c=0 d=0.00620385 t=11833
hu hu hu 	呼呼呼	c=1 d=0.0623495 t=11833
hu jiao 	呼叫	c=3 d=0.993766 t=11833
hu jin tao 	胡錦濤	c=2 d=1.41411e-10 t=11833
hu lan 	護欄	c=4 d=1.3049e-05 t=11833
hu lian 	互聯	c=0 d=0.169156 t=11833
hu ning 	滬寧	c=0 d=8.92125e-12 t=11833
hu shu xue 	胡數學	c=1 d=0.000165755 t=11833
hu song 	滬淞	c=1 d=0.0049667 t=11833
hu song 	護送	c=1 d=0.00494193 t=11833
hu tong 	互通	c=3 d=4.83078e-16 t=11833
hu xing 	戶型	c=1 d=3.93803e-08 t=11833
hu yao 	狐妖	c=12 d=1.12648 t=11833
hua 	化	c=8 d=0.554327 t=11833
hua 	滑	c=1 d=2.57632e-16 t=11833
hua 	畫	c=5 d=0.324652 t=11833
hua 	花	c=2 d=2.4724e-15 t=11833
hua 	華	c=5 d=0.151505 t=11833
hua 	話	c=12 d=0.994671 t=11833
hua qian 	花錢	c=1 d=0.227638 t=11833
hua suan 	划算	c=1 d=0.00137404 t=11833
hua tu 	畫圖	c=2 d=0.0298969 t=11833
huai 	壞	c=2 d=0.0342412 t=11833
huai 	淮	c=1 d=0.0192547 t=11833
huai si 	壞死	c=0 d=0.0402524 t=11833
huan 	換	c=2 d=0.167797 t=11833
huan 	還	c=8 d=0.0117144 t=11833
huan chong qu 	緩衝區	c=1 d=0.00737249 t=11833
huan cun 	緩存	c=3 d=0.238583 t=11833
huan hang 	換行	c=2 d=0.440432 t=11833
huan jing 	環境	c=2 d=9.18825e-05 t=11833
huan xing 	喚醒	c=1 d=9.46807e-05 t=11833
huan zhe 	患者	c=1 d=5.48998e-05 t=11833
hui 	回	c=12 d=2.15369 t=11833
hui 	會	c=23 d=1.82421 t=11833
hui bao 	回報	c=3 d=0.000406156 t=11833
hui bao 	彙報	c=3 d=0.000409985 t=11833
hui bian 	彙編	c=1 d=3.61836e-12 t=11833
hui bu hui 	會不會	c=3 d=1.97053 t=11171
hui dao 	回到	c=1 d=3.42472e-12 t=11833
hui dao zhi 	會導致	c=1 d=3.37374e-12 t=11833
hui fu 	回覆	c=5 d=0.724529 t=11833
hui fu 	恢復	c=3 d=0.0275983 t=11833
hui ge 	回個	c=1 d=0.355226 t=11833
hui hua 	會話	c=1 d=0.941765 t=11833
hui jia 	回家	c=7 d=0.233412 t=11833
hui kui 	回饋	c=1 d=1 t=10910
hui lai 	回來	c=4 d=0.0317844 t=11833
hui qu 	回去	c=7 d=0.252956 t=11833
hui se 	晦澀	c=1 d=3.52111e-15 t=11833
hui shou 	揮手	c=1 d=0.489192 t=11833
hui tu 	繪圖	c=2 d=0.494109 t=11833
hui tui 	回退	c=1 d=0.00022263 t=11833
hui xing zhen 	回形針	c=1 d=0.0505395 t=11833
hui yi 	會議	c=6 d=0.217435 t=11833
hui yong 	會用	c=1 d=2.86602e-05 t=11833
hui zai 	會在	c=1 d=6.19521e-15 t=11833
hui zhi 	繪製	c=5 d=1.72149e-06 t=11833
hui zi 	惠子	c=0 d=1.41757e-18 t=11833
hun ning tu 	混凝土	c=6 d=1.01416 t=11833
hun yin 	婚姻	c=1 d=3.87334e-19 t=11833
huo 	或	c=1 d=7.00316e-16 t=11833
huo 	火	c=1 d=1 t=11473
huo de 	獲得	c=12 d=0.170428 t=11833
huo dong 	活動	c=2 d=0.0127147 t=11833
huo qu 	獲取	c=6 d=0.896121 t=11833
huo xu 	或許	c=3 d=0.00413057 t=11833
huo yuan 	火源	c=1 d=7.9521e-11 t=11833
huo zhe 	或者	c=5 d=0.932403 t=11833
ji 	即	c=2 d=0.41739 t=11833
ji 	及	c=10 d=0.739322 t=11833
ji 	季	c=1 d=4.13066e-11 t=11833
ji 	寄	c=2 d=1.97045 t=11073
ji 	急	c=1 d=1.3552e-17 t=11833
ji 	級	c=1 d=3.71122e-16 t=11833
ji 	記	c=1 d=1 t=11787
ji 	際	c=1 d=8.92125e-11 t=11833
ji 	集	c=6 d=1.80941 t=11833
ji bie 	級別	c=1 d=0.000407691 t=11833
ji chang 	機場	c=4 d=0.428784 t=11833
ji cheng 	集成	c=1 d=0.0103063 t=11833
ji chu 	基礎	c=6 d=3.1681 t=11833
ji ci 	幾次	c=2 d=4.28744e-18 t=11833
ji de 	記得	c=4 d=0.649338 t=11833
ji dian 	幾點	c=1 d=7.28524e-10 t=11833
ji dong 	激動	c=1 d=8.21828e-16 t=11833
ji dong che 	機動車	c=4 d=2.31464e-15 t=11833
ji duan 	極端	c=1 d=1.78878e-18 t=11833
ji fen 	積分	c=1 d=1 t=10912
ji ge 	幾個	c=5 d=0.716224 t=11833
ji he 	集合	c=3 d=0.000809358 t=11833
ji hua 	計劃	c=3 d=0.000841502 t=11833
ji hui 	寄回	c=0 d=0.1 t=10783
ji hui 	機會	c=2 d=0.181392 t=11833
ji hui lai 	寄回來	c=1 d=1 t=10784
ji huo 	激活	c=1 d=1 t=8714
ji huo ma 	激活碼	c=1 d=1 t=8608
ji ji 	幾幾	c=1 d=8.27241e-05 t=11833
ji jin 	基金	c=1 d=0.00472447 t=11833
ji ju 	急劇	c=1 d=0.00615802 t=11833
ji lu 	記錄	c=4 d=0.985112 t=11833
ji piao 	機票	c=1 d=0.12493 t=11833
ji pin 	極品	c=1 d=7.12376e-11 t=11833
ji qi 	機器	c=4 d=0.072907 t=11833
ji qi ren 	機器人	c=2 d=0.865022 t=11833
ji rou 	肌肉	c=2 d=3.44781e-09 t=11833
ji ru 	計入	c=0 d=0.0282239 t=11833
ji shu 	技術	c=5 d=0.217621 t=11833
ji shui 	給水	c=2 d=1.94176 t=8927
ji su 	激素	c=0 d=7.10295e-07 t=11833
ji su na 	激素那	c=1 d=7.13856e-06 t=11833
ji suan 	計算	c=27 d=2.8247 t=11833
ji tian 	幾天	c=3 d=0.0675424 t=11833
ji tuan 	集團	c=2 d=0.0402524 t=11833
ji tuan de 	集團的	c=2 d=7.48646e-07 t=11833
ji xie 	機械	c=1 d=0.970446 t=11833
ji xing 	急性	c=1 d=0.0459593 t=11833
ji xing 	記性	c=1 d=2.40214e-16 t=11833
ji xu 	積蓄	c=1 d=1 t=10481
ji xu 	繼續	c=2 d=0.000291938 t=11833
ji yue fen 	幾月份	c=1 d=0.0257325 t=11833
ji zhang 	幾張	c=1 d=1.57398e-13 t=11833
ji zhong 	集中	c=1 d=3.82099e-06 t=11833
ji zuo 	基座	c=1 d=1 t=10094
jia 	加	c=6 d=1.00284 t=11833
jia 	夾	c=19 d=0.309048 t=11833
jia 	家	c=12 d=0.191476 t=11833
jia 	架	c=3 d=0.645261 t=11833
jia 	甲	c=1 d=4.94361e-07 t=11833
jia 	賈	c=1 d=6.12939e-07 t=11833
jia 	迦	c=2 d=0.226154 t=11833
jia ban 	加班	c=5 d=0.50409 t=11833
jia chang 	家常	c=1 d=0.33454 t=11833
jia chang cai 	家常菜	c=1 d=0.00484407 t=11833
jia gao 	加高	c=1 d=1.21908e-07 t=11833
jia ge 	價格	c=7 d=0.0970562 t=11833
jia gong 	加工	c=8 d=9.48308e-06 t=11833
jia jiao 	夾角	c=1 d=2.75599e-15 t=11833
jia kuai 	加快	c=3 d=0.0558548 t=11833
jia li 	家裏	c=1 d=0.0266491 t=11833
jia li de 	家裏的	c=1 d=1 t=10480
jia li mian 	家裏面	c=1 d=0.0120342 t=11833
jia li ren 	家裏人	c=1 d=8.56707e-05 t=11833
jia mi 	加密	c=3 d=0.0963276 t=11833
jia mi qu 	加密去	c=2 d=3.02313e-07 t=11833
jia min 	嘉閔	c=3 d=7.18207e-16 t=11833
jia qi lai 	加起來	c=1 d=1 t=11011
jia qiang 	加強	c=2 d=4.04172e-12 t=11833
jia quan 	加權	c=1 d=0.366045 t=11833
jia re 	加熱	c=1 d=0.0183156 t=11833
jia ru 	加入	c=3 d=0.48683 t=11833
jia shang 	加上	c=1 d=0.00835412 t=11833
jia she 	假設	c=2 d=1.35182e-14 t=11833
jia she 	架設	c=1 d=1 t=8914
jia shi 	駕駛	c=2 d=3.25518e-10 t=11833
jia su du 	加速度	c=1 d=3.00826e-16 t=11833
jia ting 	家庭	c=1 d=4.00858e-11 t=11833
jia you 	加油	c=3 d=0.0485276 t=11833
jia zai 	加載	c=12 d=0.937067 t=11833
jia zai lu jing 	加載路徑	c=1 d=5.71987e-17 t=11833
jia zhong 	家中	c=1 d=0.499074 t=11833
jia zi 	架子	c=1 d=0.000380129 t=11833
jia zu 	家族	c=3 d=4.93453e-10 t=11833
jian 	件	c=2 d=4.34022e-05 t=11833
jian 	剪	c=1 d=4.19451e-15 t=11833
jian 	建	c=2 d=0.0629761 t=11833
jian 	減	c=1 d=4.80077e-15 t=11833
jian 	簡	c=4 d=0.955997 t=11833
jian 	見	c=1 d=0.00306538 t=11833
jian 	鍵	c=1 d=0.064894 t=11833
jian ce 	檢測	c=1 d=0.236928 t=11833
jian ce 	監測	c=1 d=1.34752e-09 t=11833
jian cha 	檢查	c=2 d=0.0765355 t=11833
jian chi 	堅持	c=1 d=0.183599 t=11833
jian dan 	簡單	c=4 d=1.17242 t=11833
jian ge 	間隔	c=2 d=4.23926e-14 t=11833
jian guo 	堅果	c=5 d=1.80332 t=11833
jian ju 	間距	c=4 d=3.68957e-06 t=11833
jian kang 	健康	c=0 d=0.00415857 t=11833
jian kang yun 	健康雲	c=1 d=0.0417941 t=11833
jian kong 	監控	c=1 d=9.54828e-16 t=11833
jian li 	剪力	c=5 d=0.00244036 t=11833
jian li 	建立	c=2 d=0.222779 t=11833
jian li 	簡歷	c=1 d=0.557106 t=11833
jian lou 	簡陋	c=1 d=0.0365162 t=11833
jian mo 	建模	c=1 d=1 t=9453
jian pan 	鍵盤	c=3 d=0.965605 t=11833
jian pan mo 	鍵盤莫	c=1 d=7.58256e-10 t=11833
jian qu 	減去	c=1 d=2.15156e-14 t=11833
jian rong 	兼容	c=1 d=1.59804e-15 t=11833
jian shao 	減少	c=2 d=3.17962e-14 t=11833
jian she 	建設	c=0 d=5.65814e-08 t=11833
jian she fang 	建設方	c=1 d=5.6865e-07 t=11833
jian shen 	健身	c=9 d=1.15935e-09 t=11833
jian shen fang 	健身房	c=1 d=4.08955e-11 t=11833
jian ting 	監聽	c=2 d=0.827233 t=11833
jian tou 	箭頭	c=3 d=0.103571 t=11833
jian xiao 	減小	c=1 d=0.0238732 t=11833
jian xiu 	檢修	c=4 d=1.84295 t=11833
jian yao 	簡要	c=1 d=0.603506 t=11833
jian yi 	建一	c=0 d=2.27715e-06 t=11833
jian yi 	建議	c=2 d=0.0188734 t=11833
jian yi ge 	建一個	c=1 d=2.28857e-05 t=11833
jian zhu 	建築	c=4 d=0.00511796 t=11833
jiang 	將	c=8 d=0.822884 t=11833
jiang 	江	c=11 d=0.36833 t=11833
jiang 	蔣	c=15 d=0.220152 t=11833
jiang dao 	降到	c=0 d=0.0168638 t=11833
jiang dao lu 	降到路	c=1 d=0.169483 t=11833
jiang di 	降低	c=2 d=0.106992 t=11833
jiang jia 	降價	c=1 d=2.06649e-10 t=11833
jiang jin 	將近	c=1 d=8.1379e-18 t=11833
jiang jin 	獎金	c=1 d=0.273898 t=11833
jiang jiu 	講究	c=1 d=0.0963276 t=11833
jiang jun 	將軍	c=1 d=1.06328e-16 t=11833
jiang shan 	江山	c=1 d=3.69083e-10 t=11833
jiang su 	江蘇	c=3 d=0.429755 t=11833
jiao 	交	c=8 d=0.519442 t=11833
jiao 	叫	c=2 d=0.744532 t=11833
jiao 	澆	c=2 d=0.362402 t=11833
jiao 	角	c=1 d=4.2807e-19 t=11833
jiao ben 	腳本	c=1 d=0.180866 t=11833
jiao che 	交車	c=2 d=2.96411e-10 t=11833
jiao cheng 	教程	c=2 d=0.23457 t=11833
jiao da 	較大	c=1 d=0.263158 t=11833
jiao dai 	交代	c=2 d=0.562705 t=11833
jiao di 	交底	c=2 d=5.0155e-06 t=11833
jiao dian 	交點	c=4 d=5.81636e-16 t=11833
jiao du 	角度	c=3 d=1.00662 t=11833
jiao dui 	校對	c=1 d=6.23707e-06 t=11833
jiao fang 	交房	c=1 d=0.00191125 t=11833
jiao fu 	交付	c=4 d=0.000198434 t=11833
jiao jie 	交接	c=1 d=1 t=11699
jiao lian 	教練	c=1 d=8.21409e-10 t=11833
jiao liu 	交流	c=1 d=0.174645 t=11833
jiao liu hui 	交流會	c=2 d=6.11848e-06 t=11833
jiao tong 	交通	c=5 d=0.137669 t=11833
jiao tong yong 	交通用	c=1 d=3.9015e-16 t=11833
jiao wang 	交往	c=1 d=2.51314e-18 t=11833
jiao yan 	校驗	c=1 d=1 t=10159
jiao yu 	教育	c=1 d=3.02859e-07 t=11833
jiao zhu 	教主	c=1 d=8.09042e-08 t=11833
jiao zhu 	澆築	c=2 d=1.12851 t=11833
jiao zhu 	澆鑄	c=2 d=0.759572 t=11833
jie 	姐	c=10 d=0.0645247 t=11833
jie 	接	c=3 d=0.0450383 t=11833
jie 	界	c=1 d=4.23522e-11 t=11833
jie 	節	c=1 d=0.50409 t=11833
jie da 	解答	c=1 d=0.000150733 t=11833
jie di 	接地	c=1 d=1 t=11796
jie dian 	節點	c=2 d=1.31063e-06 t=11833
jie duan 	截斷	c=1 d=0.255381 t=11833
jie duan 	階段	c=3 d=0.756086 t=11833
jie gou 	結構	c=23 d=1.38854 t=11833
jie gou xing 	結構性	c=1 d=0.254107 t=11833
jie guo 	結果	c=12 d=0.852144 t=11833
jie he 	結合	c=2 d=5.1399e-14 t=11833
jie hun 	結婚	c=2 d=1.82822e-06 t=11833
jie jie 	姐姐	c=1 d=0.079659 t=11833
jie jue 	解決	c=3 d=3.94484e-06 t=11833
jie jue fang an 	解決方案	c=1 d=1 t=9431
jie kai 	解開	c=1 d=5.61539e-06 t=11833
jie kou 	接口	c=4 d=0.889333 t=11833
jie kou 	藉口	c=1 d=0.313486 t=11833
jie le 	接了	c=1 d=1 t=8952
jie liu 	節流	c=1 d=0.00311976 t=11833
jie lun 	結論	c=1 d=2.62881e-18 t=11833
jie mei 	姐妹	c=2 d=0.383141 t=11833
jie mian 	截面	c=6 d=1.27969 t=11833
